Name;Description;Requirements;Cooldown;Slots;Range;Sets;Stat;School Image;School;Ap;Sp;Image
Blinding Radiance;Enemies around you receive 90% air damage. You receive a status that turns enemies in the 5m radius Blind.;Requires Aerotheurge 1;4;1 Memory;Range 5m;Sets Blinding Radiance for 1 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_blinding_radiance-icon.png
Electric Discharge;An electrical jolt deals 90% air damage to target character. Sets status Shocked.;Requires Aerotheurge 1;3;1 Memory;Range 13m;Sets Shocked for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_lightning_bolt-icon.png
Favourable Wind;Control the forces of nature so the wind is literally at your party's back. An aura increases you allies' movement speed by 1.5m while they stay close to you.;Requires Aerotheurge 1;6;1 Memory;Range 10m;Sets Favourable Winds Aura for 4 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_favourable_wind-icon.png
Shocking Touch;Sets the Shocked status on a target within arm's length and deals 110% air damage.;Requires Aerotheurge 1;3;1 Memory;Range 2m;Sets Shocked for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_shocking_touch-icon.png
Teleportation;Teleport a target character or item to a point of your choosing;Requires Aerotheurge 2;4;1 Memory;Range 13m;;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_teleport-icon.png
Closed Circuit;"Deals 220% Air Damage to enemies around you; then creates cursed static clouds on the edges of the spell.";Requires Aerotheurge 3;4;2 Memory;Range 4m;"Sets Air Immunity for 1 turn(s).
Sets Shocked for 2 turn(s)";Damage is based on your level and receives a bonus from Intelligence;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_electric_fence-icon.png
Chain Lightning;Shoot a stunning bolt of lightning that forks up to 8 times in a 8m radius and deals 150% Air Damage to each target.;Requires Aerotheurge 3;5;2 Memory;Range 13m;Sets Shocked for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_superconductor-icon.png
Nether Swap;Make two characters switch places. One of the characters can be you.;Requires Aerotheurge 2;3;1 Memory;Range 13m;Sets Nether Swap for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_netherswap-icon.png
Dazing Bolt;An electrical bolt falls from the sky, dealing 120% Air Damage to characters and items in the area, and setting Shocked status.;Requires Aerotheurge 2;4;1 Memory;"Range 13m
3m Explode Radius";Sets Shocked for 1 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge_dazing_bolt-icon.png
Vacuum Aura;Deal 80% Air Damage to enemies in the area. Caster receives an aura that sets Silence and Suffocating on enemies;"Requires Aerotheurge 2
Requires Necromancer 2";5;2 Memory;Range 8m;Sets Vacuum Aura for 3 turn(s).;Damage is based on your level and receives bonus from Intelligence;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-skills-s.png;Aerotheurge;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-9.png
